year,month,day,time,timezone,rain,snow,air_temperature,ground_temperature,highest_temperature,lowest_temperature,place,place_code,latitude,longitude
2020,1,1,0:00,UTC,-1,-1,1,,2.9,-2.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,1,6:00,UTC,,,,-4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,2,0:00,UTC,-1,-1,2.9,,4.2,1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,2,6:00,UTC,,,,-0.4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,3,0:00,UTC,0.8,-1,4.3,,5.4,3.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,3,6:00,UTC,,,,2.8,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,4,0:00,UTC,0.1,-1,1,,4.4,-0.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,4,6:00,UTC,,,,-2.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,5,0:00,UTC,4,-1,-2.1,,1.8,-6.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,5,6:00,UTC,,,,-1.9,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,6,0:00,UTC,0.7,6,0.8,,1,-4.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,6,6:00,UTC,,,,-5.4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,7,0:00,UTC,1.2,-1,4.2,,5.3,0.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,7,6:00,UTC,,,,0.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,8,0:00,UTC,3.2,-1,5.2,,7.1,3.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,8,6:00,UTC,,,,3.3,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,9,0:00,UTC,-1,-1,1.7,,7.1,0,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,9,6:00,UTC,,,,0.4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,10,0:00,UTC,-1,-1,-3.2,,0.1,-4.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,10,6:00,UTC,,,,-7.9,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,11,0:00,UTC,8,-1,-1.5,,3.1,-6.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,11,6:00,UTC,,,,-10.8,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,12,0:00,UTC,0.5,-1,4.9,,5.9,2.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,12,6:00,UTC,,,,1.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,13,0:00,UTC,-1,-1,0.8,,5.1,-1.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,13,6:00,UTC,,,,-3.7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,14,0:00,UTC,5.2,-1,2.6,,3.7,0.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,14,6:00,UTC,,,,-0.2,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,15,0:00,UTC,9.3,-1,5.9,,7.6,2.3,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,15,6:00,UTC,,,,1.6,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,16,0:00,UTC,0.2,-1,4.7,,6.9,3.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,16,6:00,UTC,,,,3,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,17,0:00,UTC,0,-1,3.5,,5.2,1.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,17,6:00,UTC,,,,-0.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,18,0:00,UTC,2.9,-1,3.3,,4.8,1.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,18,6:00,UTC,,,,-0.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,19,0:00,UTC,0.1,-1,3.4,,5.1,1.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,19,6:00,UTC,,,,2.6,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,20,0:00,UTC,0.1,-1,2.8,,3.7,0.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,20,6:00,UTC,,,,0.4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,21,0:00,UTC,0,-1,5,,7.6,2.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,21,6:00,UTC,,,,1.7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,22,0:00,UTC,-1,-1,1,,3.7,-1.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,22,6:00,UTC,,,,-1.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,23,0:00,UTC,0,-1,-0.6,,2.7,-4.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,23,6:00,UTC,,,,-6,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,24,0:00,UTC,0.2,-1,1.1,,3.2,-0.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,24,6:00,UTC,,,,-0.9,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,25,0:00,UTC,1.2,-1,-0.1,,2,-1.3,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,25,6:00,UTC,,,,-3.5,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,26,0:00,UTC,0.2,-1,2.3,,5,-2.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,26,6:00,UTC,,,,-4.2,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,27,0:00,UTC,5.6,-1,-0.6,,2.3,-1.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,27,6:00,UTC,,,,-1.9,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,28,0:00,UTC,2.2,-1,2.2,,3.1,0.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,28,6:00,UTC,,,,0,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,29,0:00,UTC,6.5,-1,1.3,,2.6,0.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,29,6:00,UTC,,,,0.3,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,30,0:00,UTC,8.5,-1,0.9,,2,0.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,30,6:00,UTC,,,,-0.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,31,0:00,UTC,0.2,-1,0.9,,1.4,0.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,31,6:00,UTC,,,,-0.2,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,1,0:00,UTC,8.5,-1,2.1,,2.5,0.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,1,6:00,UTC,,,,0.3,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,2,0:00,UTC,1.7,-1,3.7,,5.2,1.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,2,6:00,UTC,,,,1.7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,3,0:00,UTC,-1,-1,-0.8,,1.8,-2.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,3,6:00,UTC,,,,-1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,4,0:00,UTC,-1,-1,-5,,-1.9,-6.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,4,6:00,UTC,,,,-7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,5,0:00,UTC,0.2,-1,-1.8,,1.6,-8.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,5,6:00,UTC,,,,-11.6,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,6,0:00,UTC,-1,-1,-3.9,,1.7,-6.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,6,6:00,UTC,,,,-7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,7,0:00,UTC,1.4,-1,-4.1,,-0.9,-9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,7,6:00,UTC,,,,-10.9,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,8,0:00,UTC,-1,3,0.5,,1.6,-0.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,8,6:00,UTC,,,,-1.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,9,0:00,UTC,12.1,-1,3.2,,3.9,1.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,9,6:00,UTC,,,,1.3,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,10,0:00,UTC,8.9,-1,3.7,,4.8,2.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,10,6:00,UTC,,,,2.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,11,0:00,UTC,9.3,-1,2.8,,4.7,1.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,11,6:00,UTC,,,,1.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,12,0:00,UTC,3.8,2,1.8,,4,0.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,12,6:00,UTC,,,,-0.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,13,0:00,UTC,0.1,-1,1.1,,2.7,-0.3,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,13,6:00,UTC,,,,-0.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,14,0:00,UTC,-1,-1,-1.1,,0.5,-2.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,14,6:00,UTC,,,,-7.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,15,0:00,UTC,4.7,-1,1.1,,2.7,-4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,15,6:00,UTC,,,,-7.4,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,16,0:00,UTC,31.6,-1,3.5,,4.4,2.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,16,6:00,UTC,,,,2.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,17,0:00,UTC,3,-1,5,,6.4,3.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,17,6:00,UTC,,,,2.8,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,18,0:00,UTC,0.1,-1,5.2,,6.5,4.3,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,18,6:00,UTC,,,,3.6,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,19,0:00,UTC,0.1,-1,3.2,,5.1,1.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,19,6:00,UTC,,,,0.2,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,20,0:00,UTC,1.7,-1,0.3,,2.5,-1.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,20,6:00,UTC,,,,-1.7,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,21,0:00,UTC,3.9,-1,2.7,,4,-1.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,21,6:00,UTC,,,,-3.8,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,22,0:00,UTC,23,-1,3.9,,5,0.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,22,6:00,UTC,,,,2.8,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,23,0:00,UTC,0.1,-1,3,,5.8,1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,23,6:00,UTC,,,,-0.1,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,24,0:00,UTC,-1,-1,1.2,,3.9,-0.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,2,24,6:00,UTC,,,,-1.2,,,Helsinki-Vantaa Airport,100968,60.3267,24.95675
